Date,Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,AvgAHH,AvgAHA
2003-08-30,2003-04,Albacete,Osasuna,0,2,A,2.21,3.06,2.99,2.05,1.8
2003-08-30,2003-04,Ath Bilbao,Barcelona,0,1,A,2.64,3.13,2.42,1.77,2.08
2003-08-30,2003-04,Espanol,Sociedad,1,1,D,2.58,3.1,2.48,1.87,1.98
2003-08-30,2003-04,Malaga,Villarreal,0,0,D,2.27,3.08,2.88,2.07,1.78
2003-08-30,2003-04,Real Madrid,Betis,2,1,H,1.38,4.0,7.18,1.94,1.91
2003-08-30,2003-04,Valencia,Valladolid,1,1,D,1.44,3.72,6.8,1.94,1.91
2003-08-31,2003-04,Celta,Murcia,1,1,D,1.45,3.62,6.88,1.84,2.01
2003-08-31,2003-04,Santander,Mallorca,2,1,H,2.35,3.13,2.7,2.08,1.77
2003-08-31,2003-04,Sevilla,Ath Madrid,1,0,H,2.21,3.1,2.96,1.93,1.92
2003-08-31,2003-04,Zaragoza,La Coruna,0,1,A,2.82,3.13,2.26,1.92,1.93
2003-09-02,2003-04,Osasuna,Valencia,0,1,A,2.83,3.12,2.27,1.83,2.03
2003-09-02,2003-04,Sociedad,Celta,1,1,D,1.88,3.22,3.64,1.93,1.92
2003-09-02,2003-04,Villarreal,Real Madrid,1,1,D,3.99,3.28,1.8,1.88,1.96
2003-09-03,2003-04,Ath Madrid,Albacete,1,0,H,1.46,3.59,6.46,1.92,1.92
2003-09-03,2003-04,Barcelona,Sevilla,1,1,D,1.53,3.57,5.45,1.92,1.93
2003-09-03,2003-04,Betis,Espanol,2,2,D,1.71,3.26,4.43,1.93,1.92
2003-09-03,2003-04,La Coruna,Ath Bilbao,2,0,H,1.53,3.46,5.78,1.95,1.9
2003-09-03,2003-04,Mallorca,Zaragoza,2,0,H,1.74,3.3,4.18,2.02,1.82
2003-09-03,2003-04,Murcia,Santander,1,1,D,2.1,3.16,3.1,1.89,1.96
2003-09-03,2003-04,Valladolid,Malaga,1,0,H,1.93,3.18,3.53,1.98,1.88
2003-09-13,2003-04,Celta,Betis,0,2,A,1.82,3.16,4.01,1.9,1.95
2003-09-13,2003-04,Real Madrid,Valladolid,7,2,H,1.29,4.39,9.1,1.82,2.02
2003-09-13,2003-04,Santander,Sociedad,0,1,A,2.53,3.11,2.53,1.85,2.0
2003-09-13,2003-04,Sevilla,La Coruna,1,2,A,2.63,3.07,2.45,2.0,1.85
2003-09-14,2003-04,Albacete,Barcelona,1,2,A,4.07,3.22,1.79,1.88,1.97
2003-09-14,2003-04,Ath Bilbao,Mallorca,4,0,H,1.95,3.17,3.5,1.8,2.05
2003-09-14,2003-04,Espanol,Villarreal,1,2,A,2.2,3.04,3.02,2.0,1.85
2003-09-14,2003-04,Osasuna,Ath Madrid,1,0,H,2.4,3.11,2.65,2.0,1.85
2003-09-14,2003-04,Valencia,Malaga,1,0,H,1.42,3.67,7.58,1.95,1.9
2003-09-14,2003-04,Zaragoza,Murcia,3,0,H,1.98,3.14,3.46,1.9,1.95
2003-09-20,2003-04,Ath Madrid,Valencia,0,3,A,2.43,3.06,2.64,1.91,1.94
2003-09-20,2003-04,Barcelona,Osasuna,1,1,D,1.33,4.16,8.0,2.0,1.85
2003-09-21,2003-04,Betis,Santander,0,0,D,1.64,3.29,4.96,1.82,2.02
2003-09-21,2003-04,La Coruna,Albacete,3,0,H,1.27,4.54,9.4,2.03,1.82
2003-09-21,2003-04,Malaga,Real Madrid,1,3,A,4.9,3.4,1.62,1.93,1.92
2003-09-21,2003-04,Mallorca,Sevilla,1,1,D,2.13,3.15,3.06,2.02,1.82
2003-09-21,2003-04,Murcia,Ath Bilbao,2,2,D,2.37,3.12,2.69,2.02,1.83
2003-09-21,2003-04,Sociedad,Zaragoza,3,0,H,1.57,3.36,5.56,2.02,1.83
2003-09-21,2003-04,Valladolid,Espanol,3,1,H,2.01,3.12,3.4,2.0,1.85
2003-09-21,2003-04,Villarreal,Celta,1,1,D,2.13,3.14,3.06,1.89,1.94
2003-09-27,2003-04,Ath Bilbao,Sociedad,1,0,H,2.38,3.12,2.66,1.8,2.05
2003-09-27,2003-04,Celta,Valladolid,3,2,H,1.69,3.24,4.59,1.95,1.9
2003-09-27,2003-04,Osasuna,La Coruna,3,2,H,2.99,3.14,2.16,0.25,1.83
2003-09-27,2003-04,Valencia,Real Madrid,2,0,H,2.79,3.13,2.27,1.9,1.95
2003-09-28,2003-04,Albacete,Mallorca,2,0,H,2.58,3.14,2.44,1.98,1.88
2003-09-28,2003-04,Ath Madrid,Barcelona,0,0,D,2.61,3.15,2.4,1.8,2.05
2003-09-28,2003-04,Espanol,Malaga,1,2,A,1.93,3.1,3.57,2.01,1.84
2003-09-28,2003-04,Santander,Villarreal,0,2,A,2.27,3.12,2.81,2.03,1.82
2003-09-28,2003-04,Sevilla,Murcia,1,0,H,1.65,3.24,4.92,1.85,2.0
2003-09-28,2003-04,Zaragoza,Betis,0,1,A,2.36,3.12,2.7,1.78,2.08
2003-10-04,2003-04,Betis,Ath Bilbao,1,1,D,1.9,3.18,3.6,1.98,1.87
2003-10-04,2003-04,La Coruna,Ath Madrid,5,1,H,1.48,3.57,6.18,1.9,1.95
2003-10-04,2003-04,Villarreal,Zaragoza,1,1,D,1.68,3.29,4.52,1.85,2.0
2003-10-05,2003-04,Barcelona,Valencia,0,1,A,2.23,3.15,2.83,2.11,1.76
2003-10-05,2003-04,Malaga,Celta,2,1,H,2.49,3.0,2.6,1.82,2.03
2003-10-05,2003-04,Mallorca,Osasuna,1,1,D,2.06,3.19,3.15,1.85,2.0
2003-10-05,2003-04,Murcia,Albacete,1,0,H,1.9,3.18,3.6,1.98,1.87
2003-10-05,2003-04,Real Madrid,Espanol,2,1,H,1.2,5.1,11.0,1.8,2.05
2003-10-05,2003-04,Sociedad,Sevilla,1,1,D,1.66,3.25,4.78,1.98,1.87
2003-10-05,2003-04,Valladolid,Santander,0,4,A,1.91,3.18,3.55,0.72,1.9
2003-10-18,2003-04,Albacete,Sociedad,3,1,H,3.29,3.17,2.0,1.86,1.99
2003-10-18,2003-04,Barcelona,La Coruna,0,2,A,2.33,3.15,2.68,2.05,1.8
2003-10-18,2003-04,Celta,Real Madrid,0,2,A,3.7,3.2,1.86,1.97,1.88
2003-10-19,2003-04,Ath Bilbao,Villarreal,2,0,H,1.96,3.14,3.42,1.77,2.08
2003-10-19,2003-04,Ath Madrid,Mallorca,2,1,H,1.9,3.21,3.55,2.01,1.84
2003-10-19,2003-04,Osasuna,Murcia,2,1,H,1.7,3.21,4.5,1.98,1.87
2003-10-19,2003-04,Santander,Malaga,4,2,H,2.0,3.12,3.33,1.79,2.06
2003-10-19,2003-04,Sevilla,Betis,2,2,D,2.33,2.92,2.89,2.03,1.82
2003-10-19,2003-04,Valencia,Espanol,4,0,H,1.28,4.43,9.2,2.0,1.85
2003-10-19,2003-04,Zaragoza,Valladolid,1,0,H,2.02,3.16,3.24,1.96,1.89
2003-10-25,2003-04,La Coruna,Valencia,2,1,H,2.14,3.12,3.04,2.02,1.83
2003-10-25,2003-04,Malaga,Zaragoza,2,1,H,2.0,3.07,3.39,1.97,1.88
2003-10-25,2003-04,Real Madrid,Santander,3,1,H,1.22,4.94,9.9,1.92,1.93
2003-10-26,2003-04,Betis,Albacete,3,2,H,1.54,3.38,5.72,1.91,1.94
2003-10-26,2003-04,Espanol,Celta,0,4,A,2.45,3.08,2.59,1.85,2.0
2003-10-26,2003-04,Mallorca,Barcelona,1,3,A,2.61,3.14,2.4,2.04,1.81
2003-10-26,2003-04,Murcia,Ath Madrid,1,3,A,2.32,3.11,2.73,1.79,2.06
2003-10-26,2003-04,Sociedad,Osasuna,1,0,H,1.74,3.2,4.29,2.07,1.78
2003-10-26,2003-04,Valladolid,Ath Bilbao,2,0,H,2.36,3.15,2.67,1.98,1.87
2003-10-26,2003-04,Villarreal,Sevilla,3,3,D,2.06,3.06,3.25,1.87,1.98
2003-10-28,2003-04,Zaragoza,Real Madrid,0,0,D,5.18,3.43,1.57,1.9,1.95
2003-10-29,2003-04,Albacete,Villarreal,2,0,H,2.47,3.13,2.54,1.85,2.0
2003-10-29,2003-04,Ath Bilbao,Malaga,2,1,H,1.69,3.25,4.54,1.97,1.88
2003-10-29,2003-04,Barcelona,Murcia,3,0,H,1.35,4.09,7.7,1.95,1.9
2003-10-29,2003-04,La Coruna,Mallorca,0,2,A,1.31,4.28,8.0,1.94,1.91
2003-10-29,2003-04,Osasuna,Betis,2,0,H,2.2,3.07,2.95,1.98,1.87
2003-10-29,2003-04,Santander,Espanol,0,1,A,1.66,3.25,4.76,1.78,2.07
2003-10-29,2003-04,Sevilla,Valladolid,1,1,D,1.69,3.24,4.54,1.99,1.86
2003-10-29,2003-04,Valencia,Celta,2,2,D,1.54,3.37,5.66,2.03,1.82
2003-10-30,2003-04,Ath Madrid,Sociedad,4,0,H,2.34,3.12,2.71,1.78,2.07
2003-11-01,2003-04,Celta,Santander,0,1,A,1.68,3.28,4.6,2.06,1.82
2003-11-01,2003-04,Murcia,La Coruna,0,0,D,4.09,3.23,1.77,1.87,2.0
2003-11-01,2003-04,Real Madrid,Ath Bilbao,3,0,H,1.27,4.51,8.9,1.96,1.89
2003-11-02,2003-04,Betis,Ath Madrid,1,2,A,2.76,2.37,3.26,-0.5,1.92
2003-11-02,2003-04,Espanol,Zaragoza,0,2,A,2.14,3.19,2.99,1.88,1.97
2003-11-02,2003-04,Malaga,Sevilla,2,0,H,2.21,3.02,2.98,1.97,1.88
2003-11-02,2003-04,Mallorca,Valencia,0,5,A,3.35,3.13,2.01,2.03,1.82
2003-11-02,2003-04,Sociedad,Barcelona,3,3,D,2.38,3.14,2.63,1.93,1.92
2003-11-02,2003-04,Valladolid,Albacete,2,0,H,1.74,3.23,4.26,2.11,1.78
2003-11-02,2003-04,Villarreal,Osasuna,1,0,H,2.08,3.07,3.22,1.8,2.05
2003-11-08,2003-04,Ath Bilbao,Espanol,1,0,H,1.55,3.46,5.42,2.0,1.85
2003-11-08,2003-04,La Coruna,Sociedad,2,1,H,1.64,3.33,4.81,1.84,2.01
2003-11-08,2003-04,Zaragoza,Celta,1,1,D,2.33,3.12,2.72,2.03,1.82
2003-11-09,2003-04,Albacete,Malaga,0,1,A,2.12,3.14,3.06,2.02,1.83
2003-11-09,2003-04,Ath Madrid,Villarreal,1,0,H,1.74,3.22,4.22,1.88,1.97
2003-11-09,2003-04,Barcelona,Betis,2,1,H,1.58,3.44,5.11,2.03,1.82
2003-11-09,2003-04,Mallorca,Murcia,4,1,H,1.83,3.18,3.86,1.9,1.95
2003-11-09,2003-04,Osasuna,Valladolid,1,1,D,1.75,3.24,4.21,0.65,1.95
