season,position,team,points,GD,GF,GA,num_matches
2003-04,1,Valencia,77,44,71,27,38
2003-04,2,Barcelona,72,24,63,39,38
2003-04,3,La Coruna,71,26,60,34,38
2003-04,4,Real Madrid,70,18,72,54,38
2003-04,5,Ath Bilbao,56,4,53,49,38
2003-04,6,Sevilla,55,11,56,45,38
2003-04,7,Ath Madrid,55,-2,51,53,38
2003-04,8,Villarreal,54,-2,47,49,38
2003-04,9,Betis,52,3,46,43,38
2003-04,10,Malaga,51,-5,50,55,38
2003-04,11,Mallorca,51,-12,54,66,38
2003-04,12,Osasuna,48,1,38,37,38
2003-04,13,Zaragoza,48,-9,46,55,38
2003-04,14,Albacete,47,-8,40,48,38
2003-04,15,Sociedad,46,-4,49,53,38
2003-04,16,Santander,43,-15,48,63,38
2003-04,17,Espanol,43,-16,48,64,38
2003-04,18,Valladolid,41,-10,46,56,38
2003-04,19,Celta,39,-20,48,68,38
2003-04,20,Murcia,26,-28,29,57,38
2004-05,1,Barcelona,84,44,73,29,38
2004-05,2,Real Madrid,80,39,71,32,38
2004-05,3,Villarreal,65,32,69,37,38
2004-05,4,Betis,62,12,62,50,38
2004-05,5,Espanol,61,8,54,46,38
2004-05,6,Sevilla,60,3,44,41,38
2004-05,7,Valencia,58,15,54,39,38
2004-05,8,Ath Bilbao,51,5,59,54,38
2004-05,9,La Coruna,51,-4,46,50,38
2004-05,10,Malaga,51,-8,40,48,38
2004-05,11,Ath Madrid,50,6,40,34,38
2004-05,12,Zaragoza,50,-5,52,57,38
2004-05,13,Getafe,47,-8,38,46,38
2004-05,14,Sociedad,47,-9,47,56,38
2004-05,15,Osasuna,46,-19,46,65,38
2004-05,16,Santander,44,-17,41,58,38
2004-05,17,Mallorca,39,-21,42,63,38
2004-05,18,Levante,37,-19,39,58,38
2004-05,19,Numancia,29,-31,30,61,38
2004-05,20,Albacete,28,-23,33,56,38
2005-06,1,Barcelona,82,45,80,35,38
2005-06,2,Real Madrid,70,30,70,40,38
2005-06,3,Valencia,69,25,58,33,38
2005-06,4,Sevilla,68,15,54,39,38
2005-06,5,Osasuna,68,6,49,43,38
2005-06,6,Celta,64,12,45,33,38
2005-06,7,Villarreal,57,11,50,39,38
2005-06,8,La Coruna,55,2,47,45,38
2005-06,9,Getafe,54,5,54,49,38
2005-06,10,Ath Madrid,52,8,45,37,38
2005-06,11,Zaragoza,46,-5,46,51,38
2005-06,12,Ath Bilbao,45,-6,40,46,38
2005-06,13,Mallorca,43,-14,37,51,38
2005-06,14,Betis,42,-17,34,51,38
2005-06,15,Espanol,41,-20,36,56,38
2005-06,16,Santander,40,-13,36,49,38
2005-06,17,Sociedad,40,-17,48,65,38
2005-06,18,Alaves,39,-19,35,54,38
2005-06,19,Cadiz,36,-16,36,52,38
2005-06,20,Malaga,24,-32,36,68,38
2006-07,1,Barcelona,76,45,78,33,38
2006-07,2,Real Madrid,76,26,66,40,38
2006-07,3,Sevilla,71,29,64,35,38
2006-07,4,Valencia,66,15,57,42,38
2006-07,5,Villarreal,62,4,48,44,38
2006-07,6,Zaragoza,60,12,55,43,38
2006-07,7,Ath Madrid,60,7,46,39,38
2006-07,8,Recreativo,54,2,54,52,38
2006-07,9,Getafe,52,6,39,33,38
2006-07,10,Santander,50,-6,42,48,38
2006-07,11,Mallorca,49,-6,41,47,38
2006-07,12,Espanol,49,-7,46,53,38
2006-07,13,La Coruna,47,-13,32,45,38
2006-07,14,Osasuna,46,2,51,49,38
2006-07,15,Levante,42,-16,37,53,38
2006-07,16,Betis,40,-13,36,49,38
2006-07,17,Ath Bilbao,40,-18,44,62,38
2006-07,18,Celta,39,-19,40,59,38
2006-07,19,Sociedad,35,-15,32,47,38
2006-07,20,Gimnastic,28,-35,34,69,38
2007-08,1,Real Madrid,85,48,84,36,38
2007-08,2,Villarreal,77,23,63,40,38
2007-08,3,Barcelona,67,33,76,43,38
2007-08,4,Sevilla,64,26,75,49,38
2007-08,5,Ath Madrid,64,19,66,47,38
2007-08,6,Santander,60,1,42,41,38
2007-08,7,Mallorca,59,15,69,54,38
2007-08,8,La Coruna,52,-1,46,47,38
2007-08,9,Almeria,52,-3,42,45,38
2007-08,10,Valencia,51,-14,48,62,38
2007-08,11,Ath Bilbao,50,-3,40,43,38
2007-08,12,Espanol,48,-10,43,53,38
2007-08,13,Getafe,47,-4,44,48,38
2007-08,14,Betis,47,-6,45,51,38
2007-08,15,Valladolid,45,-15,42,57,38
2007-08,16,Recreativo,44,-20,40,60,38
2007-08,17,Osasuna,43,-7,37,44,38
2007-08,18,Zaragoza,42,-11,50,61,38
2007-08,19,Murcia,30,-29,36,65,38
2007-08,20,Levante,26,-42,33,75,38
2008-09,1,Barcelona,87,70,105,35,38
2008-09,2,Real Madrid,78,31,83,52,38
2008-09,3,Sevilla,70,15,54,39,38
2008-09,4,Ath Madrid,67,23,80,57,38
2008-09,5,Villarreal,65,7,61,54,38
2008-09,6,Valencia,62,14,68,54,38
2008-09,7,La Coruna,58,1,48,47,38
2008-09,8,Malaga,55,-4,55,59,38
2008-09,9,Mallorca,51,-7,53,60,38
2008-09,10,Espanol,47,-3,46,49,38
2008-09,11,Santander,46,1,49,48,38
2008-09,12,Almeria,46,-16,45,61,38
2008-09,13,Ath Bilbao,44,-15,47,62,38
2008-09,14,Osasuna,43,-6,41,47,38
2008-09,15,Valladolid,43,-12,46,58,38
2008-09,16,Sp Gijon,43,-32,47,79,38
2008-09,17,Getafe,42,-6,50,56,38
2008-09,18,Betis,42,-7,51,58,38
2008-09,19,Numancia,35,-31,38,69,38
2008-09,20,Recreativo,33,-23,34,57,38
2009-10,1,Barcelona,99,74,98,24,38
2009-10,2,Real Madrid,96,67,102,35,38
2009-10,3,Valencia,71,19,59,40,38
2009-10,4,Sevilla,63,16,65,49,38
2009-10,5,Mallorca,62,15,59,44,38
2009-10,6,Getafe,58,10,58,48,38
2009-10,7,Villarreal,56,1,58,57,38
2009-10,8,Ath Bilbao,54,-3,50,53,38
2009-10,9,Ath Madrid,47,-4,57,61,38
2009-10,10,La Coruna,47,-14,35,49,38
2009-10,11,Espanol,44,-17,29,46,38
2009-10,12,Osasuna,43,-9,37,46,38
2009-10,13,Almeria,42,-12,43,55,38
2009-10,14,Zaragoza,41,-18,46,64,38
2009-10,15,Sp Gijon,40,-15,36,51,38
2009-10,16,Santander,39,-17,42,59,38
2009-10,17,Malaga,37,-6,42,48,38
2009-10,18,Valladolid,36,-25,37,62,38
2009-10,19,Tenerife,36,-34,40,74,38
2009-10,20,Xerez,34,-28,38,66,38
2010-11,1,Barcelona,96,74,95,21,38
2010-11,2,Real Madrid,92,69,102,33,38
2010-11,3,Valencia,71,20,64,44,38
2010-11,4,Villarreal,62,10,54,44,38
2010-11,5,Ath Madrid,58,9,62,53,38
2010-11,6,Ath Bilbao,58,4,59,55,38
2010-11,7,Sevilla,58,1,62,61,38
2010-11,8,Espanol,49,-9,46,55,38
2010-11,9,Osasuna,47,-1,45,46,38
2010-11,10,Sp Gijon,47,-7,35,42,38
2010-11,11,Malaga,46,-14,54,68,38
2010-11,12,Santander,46,-15,41,56,38
2010-11,13,Levante,45,-11,41,52,38
2010-11,14,Zaragoza,45,-13,40,53,38
2010-11,15,Sociedad,45,-17,49,66,38
2010-11,16,Getafe,44,-11,49,60,38
2010-11,17,Mallorca,44,-15,41,56,38
2010-11,18,La Coruna,43,-16,31,47,38
2010-11,19,Hercules,35,-24,36,60,38
2010-11,20,Almeria,30,-34,36,70,38
2011-12,1,Real Madrid,100,89,121,32,38
2011-12,2,Barcelona,91,85,114,29,38
2011-12,3,Valencia,61,15,59,44,38
2011-12,4,Malaga,58,1,54,53,38
2011-12,5,Ath Madrid,56,7,53,46,38
2011-12,6,Levante,55,4,54,50,38
2011-12,7,Osasuna,54,-17,44,61,38
2011-12,8,Mallorca,52,-4,42,46,38
2011-12,9,Sevilla,50,1,48,47,38
2011-12,10,Ath Bilbao,49,-3,49,52,38
2011-12,11,Sociedad,47,-6,46,52,38
2011-12,12,Betis,47,-9,47,56,38
2011-12,13,Getafe,47,-11,40,51,38
2011-12,14,Espanol,46,-10,46,56,38
2011-12,15,Vallecano,43,-20,53,73,38
2011-12,16,Zaragoza,43,-25,36,61,38
2011-12,17,Granada,42,-21,35,56,38
2011-12,18,Villarreal,41,-14,39,53,38
2011-12,19,Sp Gijon,37,-27,42,69,38
2011-12,20,Santander,27,-35,28,63,38
2012-13,1,Barcelona,100,75,115,40,38
2012-13,2,Real Madrid,85,61,103,42,38
2012-13,3,Ath Madrid,76,34,65,31,38
2012-13,4,Sociedad,66,21,70,49,38
2012-13,5,Valencia,65,13,67,54,38
2012-13,6,Malaga,57,3,53,50,38
2012-13,7,Betis,56,1,57,56,38
2012-13,8,Vallecano,53,-16,50,66,38
2012-13,9,Sevilla,50,4,58,54,38
2012-13,10,Getafe,47,-14,43,57,38
2012-13,11,Levante,46,-17,40,57,38
2012-13,12,Ath Bilbao,45,-21,44,65,38
2012-13,13,Espanol,44,-9,43,52,38
