season,date,team,rival_team,home_adv,last_season_team,last_season_rival,pct_wins,avg_goals_scored,avg_goals_received,goal_difference,pct_wins_rival,avg_goals_scored_rival,avg_goals_received_rival,goal_difference_rival,pct_wins_vs_rival,avg_goals_scored_vs_rival,avg_goals_received_vs_rival,goal_difference_vs_rival,AvgH,AvgD,AvgA,goals_team,goals_rival,result
2004-05,2004-08-28,Ath Madrid,Malaga,1,7,10,0.4,1.7,1.9,-2,0.3,1.2,1.3,-1,0.5,1.5,1.5,0,1.75,3.2,4.3,2,0,1
2004-05,2004-08-28,Espanol,La Coruna,1,17,3,0.5,1.7,1.4,3,0.6,1.5,0.7,8,0.5,1.5,1.0,1,2.8,3.16,2.32,1,1,0
2004-05,2004-08-28,Numancia,Betis,1,21,9,0.0,0.0,0.0,0,0.4,1.1,1.3,-2,0.0,0.0,0.0,0,2.5,3.12,2.56,1,1,0
2004-05,2004-08-29,Mallorca,Real Madrid,1,11,4,0.6,1.9,1.7,2,0.3,1.6,2.3,-7,0.5,2.0,2.5,-1,4.42,3.25,1.75,0,1,-1
2004-05,2004-08-29,Osasuna,Ath Bilbao,1,12,5,0.2,1.0,1.3,-3,0.4,1.8,1.4,4,0.0,1.0,1.5,-1,2.31,3.13,2.77,1,1,0
2004-05,2004-08-29,Santander,Barcelona,1,16,2,0.1,1.3,2.3,-10,0.6,1.6,0.7,9,0.5,1.5,0.5,2,4.37,3.28,1.75,0,2,-1
2004-05,2004-08-29,Sevilla,Albacete,1,6,14,0.5,1.8,1.5,3,0.4,1.3,1.2,1,1.0,3.0,0.5,5,1.67,3.33,4.66,1,0,1
2004-05,2004-08-29,Sociedad,Levante,1,15,21,0.2,1.6,1.4,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.69,3.2,4.75,1,1,0
2004-05,2004-08-29,Zaragoza,Getafe,1,13,21,0.4,1.5,1.7,-2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.72,3.23,4.47,3,1,1
2004-05,2004-08-30,Valencia,Villarreal,1,1,8,0.6,1.9,0.7,12,0.4,0.9,1.1,-2,0.5,2.5,2.0,1,1.64,3.1,4.64,2,1,1
2004-05,2004-09-11,Real Madrid,Numancia,1,4,21,0.4,1.5,1.9,-4,0.0,1.0,1.0,0,0.0,0.0,0.0,0,1.2,5.38,11.6,1,0,1
2004-05,2004-09-11,Ath Bilbao,Valencia,1,5,1,0.3,1.5,1.3,2,0.6,1.6,0.7,9,0.0,1.0,1.5,-1,2.62,3.14,2.42,2,2,0
2004-05,2004-09-11,Barcelona,Sevilla,1,2,6,0.6,1.7,0.7,10,0.6,1.9,1.4,5,0.5,1.0,0.5,1,1.41,3.81,7.35,2,0,1
2004-05,2004-09-12,Albacete,Ath Madrid,1,14,7,0.3,1.1,1.3,-2,0.4,1.7,1.8,-1,0.0,0.5,1.0,-1,2.58,3.16,2.51,0,2,-1
2004-05,2004-09-12,Betis,Espanol,1,9,17,0.4,1.1,1.2,-1,0.5,1.7,1.4,3,0.5,2.0,1.5,1,1.93,3.18,3.56,1,4,-1
2004-05,2004-09-12,Getafe,Mallorca,1,21,11,0.0,1.0,3.0,-2,0.6,1.8,1.3,5,0.0,0.0,0.0,0,2.38,3.06,2.73,1,2,-1
2004-05,2004-09-12,La Coruna,Osasuna,1,3,12,0.5,1.5,0.8,7,0.1,0.9,1.3,-4,0.5,2.0,1.5,1,1.48,3.57,6.16,1,3,-1
2004-05,2004-09-12,Levante,Santander,1,21,16,0.0,1.0,1.0,0,0.1,0.9,2.1,-12,0.0,0.0,0.0,0,2.06,3.15,3.22,3,1,1
2004-05,2004-09-12,Malaga,Zaragoza,1,10,13,0.2,1.1,1.5,-4,0.5,1.7,1.7,0,0.5,1.0,1.0,0,2.12,3.13,3.11,0,0,0
2004-05,2004-09-12,Villarreal,Sociedad,1,8,15,0.4,0.9,1.1,-2,0.2,1.7,1.4,3,0.5,2.0,1.0,2,1.8,3.25,3.96,0,0,0
2004-05,2004-09-18,Espanol,Real Madrid,1,17,4,0.5,1.9,1.4,5,0.4,1.1,1.8,-7,0.0,1.5,3.0,-3,3.71,3.23,1.89,1,0,1
2004-05,2004-09-18,Osasuna,Betis,1,12,9,0.2,1.1,1.3,-2,0.4,1.0,1.4,-4,0.5,1.5,0.5,2,1.92,3.2,3.56,3,2,1
2004-05,2004-09-18,Valencia,Sociedad,1,1,15,0.5,1.5,0.9,6,0.2,1.6,1.2,4,0.0,1.0,1.0,0,1.46,3.68,6.25,3,1,1
2004-05,2004-09-19,Ath Madrid,Barcelona,1,7,2,0.5,1.9,1.8,1,0.7,1.9,0.7,12,0.0,0.5,1.5,-2,2.91,3.16,2.2,1,1,0
2004-05,2004-09-19,Ath Bilbao,La Coruna,1,5,3,0.3,1.6,1.3,3,0.4,1.4,1.0,4,0.5,0.5,1.0,-1,2.26,3.13,2.84,1,2,-1
2004-05,2004-09-19,Santander,Villarreal,1,16,8,0.1,1.0,2.1,-11,0.4,0.9,1.1,-2,0.0,1.5,4.0,-5,2.43,3.15,2.6,1,1,0
2004-05,2004-09-19,Mallorca,Malaga,1,11,10,0.7,2.0,1.2,8,0.2,1.0,1.4,-4,0.5,1.5,2.0,-1,1.9,3.18,3.62,1,2,-1
2004-05,2004-09-19,Numancia,Getafe,1,21,21,0.0,0.5,1.0,-1,0.0,1.0,2.5,-3,0.0,0.0,0.0,0,1.93,3.17,3.55,1,0,1
2004-05,2004-09-19,Zaragoza,Albacete,1,13,14,0.4,1.5,1.7,-2,0.3,1.0,1.4,-4,0.0,0.5,2.0,-3,1.72,3.29,4.4,4,3,1
2004-05,2004-09-19,Sevilla,Levante,1,6,21,0.6,1.8,1.1,7,0.5,2.0,1.0,2,0.0,0.0,0.0,0,1.69,3.27,4.63,3,0,1
2004-05,2004-09-21,Real Madrid,Osasuna,1,4,12,0.3,0.9,1.8,-9,0.3,1.3,1.4,-1,0.0,0.5,2.0,-3,1.4,3.93,6.7,1,0,1
2004-05,2004-09-22,Albacete,Mallorca,1,14,11,0.3,1.2,1.6,-4,0.7,2.0,1.3,7,0.5,1.0,0.0,2,2.26,3.14,2.83,0,0,0
2004-05,2004-09-22,Betis,Ath Bilbao,1,9,5,0.4,1.2,1.5,-3,0.3,1.7,1.5,2,0.0,1.0,1.0,0,2.26,3.14,2.84,2,1,1
2004-05,2004-09-22,Getafe,Espanol,1,21,17,0.0,0.67,2.0,-4,0.6,2.0,1.3,7,0.0,0.0,0.0,0,2.72,3.12,2.34,1,0,1
2004-05,2004-09-22,La Coruna,Valencia,1,3,1,0.5,1.4,0.9,5,0.5,1.6,1.0,6,0.5,1.0,2.0,-2,2.36,3.1,2.74,1,5,-1
2004-05,2004-09-22,Levante,Ath Madrid,1,21,7,0.33,1.33,1.67,-1,0.4,1.8,1.8,0,0.0,0.0,0.0,0,2.67,3.13,2.37,1,0,1
2004-05,2004-09-22,Malaga,Numancia,1,10,21,0.3,1.1,1.4,-3,0.33,0.67,0.67,0,0.0,0.0,0.0,0,1.8,3.16,4.13,4,1,1
2004-05,2004-09-22,Sociedad,Santander,1,15,16,0.2,1.6,1.4,2,0.1,0.9,2.0,-11,1.0,1.0,0.0,2,1.78,3.22,4.16,0,1,-1
