season,date,team,rival_team,home_adv,last_season_team,last_season_rival,pct_wins,avg_goals_scored,avg_goals_received,goal_difference,pct_wins_rival,avg_goals_scored_rival,avg_goals_received_rival,goal_difference_rival,pct_wins_vs_rival,avg_goals_scored_vs_rival,avg_goals_received_vs_rival,goal_difference_vs_rival,goals_team,goals_rival,result,AvgWin,AvgLoss,AvgDraw,AvgAHWin,AvgAHLoss
2003-04,2003-08-30,Ath Bilbao,Barcelona,1,21,21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1,-1,2.64,2.42,3.13,1.77,2.08
2003-04,2003-09-03,Ath Bilbao,La Coruna,0,21,21,0.00,0.00,1.00,-1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0,2,-1,5.78,1.53,3.46,1.90,1.95
2003-04,2003-09-14,Ath Bilbao,Mallorca,1,21,21,0.00,0.00,1.50,-3.00,0.50,1.50,1.00,1.00,0.00,0.00,0.00,0.00,4,0,1,1.95,3.50,3.17,1.80,2.05
2003-04,2003-09-21,Ath Bilbao,Murcia,0,21,21,0.33,1.33,1.00,1.00,0.00,0.67,1.67,-3.00,0.00,0.00,0.00,0.00,2,2,0,2.69,2.37,3.12,1.83,2.02
2003-04,2003-09-27,Ath Bilbao,Sociedad,1,21,21,0.25,1.50,1.25,1.00,0.50,1.50,0.50,4.00,0.00,0.00,0.00,0.00,1,0,1,2.38,2.66,3.12,1.80,2.05
2003-04,2003-10-04,Ath Bilbao,Betis,0,21,21,0.40,1.40,1.00,2.00,0.40,1.20,0.80,2.00,0.00,0.00,0.00,0.00,1,1,0,3.60,1.90,3.18,1.87,1.98
2003-04,2003-10-19,Ath Bilbao,Villarreal,1,21,21,0.33,1.33,1.00,2.00,0.33,1.17,0.67,3.00,0.00,0.00,0.00,0.00,2,0,1,1.96,3.42,3.14,1.77,2.08
2003-04,2003-10-26,Ath Bilbao,Valladolid,0,21,21,0.43,1.43,0.86,4.00,0.29,1.29,2.43,-8.00,0.00,0.00,0.00,0.00,0,2,-1,2.67,2.36,3.15,1.87,1.98
2003-04,2003-10-29,Ath Bilbao,Malaga,1,21,21,0.38,1.25,1.00,2.00,0.38,1.12,1.50,-3.00,0.00,0.00,0.00,0.00,2,1,1,1.69,4.54,3.25,1.97,1.88
2003-04,2003-11-01,Ath Bilbao,Real Madrid,0,21,21,0.44,1.33,1.00,3.00,0.67,2.22,1.00,11.00,0.00,0.00,0.00,0.00,0,3,-1,8.90,1.27,4.51,1.89,1.96
2003-04,2003-11-08,Ath Bilbao,Espanol,1,21,21,0.40,1.20,1.20,0.00,0.10,0.80,2.20,-14.00,0.00,0.00,0.00,0.00,1,0,1,1.55,5.42,3.46,2.00,1.85
2003-04,2003-11-23,Ath Bilbao,Celta,0,21,21,0.50,1.30,1.10,2.00,0.20,1.30,1.40,-1.00,0.00,0.00,0.00,0.00,2,0,1,3.55,1.92,3.19,1.80,2.05
2003-04,2003-11-30,Ath Bilbao,Santander,1,21,21,0.60,1.50,0.90,6.00,0.40,1.30,1.20,1.00,0.00,0.00,0.00,0.00,1,2,-1,1.80,4.03,3.20,1.90,1.95
2003-04,2003-12-04,Ath Bilbao,Zaragoza,0,21,21,0.50,1.20,1.10,1.00,0.30,1.00,1.20,-2.00,0.00,0.00,0.00,0.00,2,2,0,2.88,2.24,3.10,1.85,2.00
2003-04,2003-12-07,Ath Bilbao,Valencia,0,21,21,0.50,1.20,1.10,1.00,0.50,2.10,1.00,11.00,0.00,0.00,0.00,0.00,1,2,-1,5.67,1.53,3.39,1.82,2.03
2003-04,2003-12-14,Ath Bilbao,Sevilla,1,21,21,0.40,1.20,1.30,-1.00,0.30,1.80,1.40,4.00,0.00,0.00,0.00,0.00,2,1,1,1.94,3.50,3.13,1.83,2.02
2003-04,2003-12-21,Ath Bilbao,Albacete,0,21,21,0.50,1.30,1.30,0.00,0.50,1.70,1.20,5.00,0.00,0.00,0.00,0.00,1,1,0,2.75,2.29,3.14,1.80,2.07
2003-04,2004-01-04,Ath Bilbao,Osasuna,1,21,21,0.40,1.20,1.40,-2.00,0.30,0.80,0.70,1.00,0.00,0.00,0.00,0.00,1,1,0,2.02,3.31,3.13,1.92,1.95
2003-04,2004-01-11,Ath Bilbao,Ath Madrid,0,21,21,0.40,1.30,1.30,0.00,0.50,1.60,1.00,6.00,0.00,0.00,0.00,0.00,0,3,-1,3.96,1.84,3.16,1.85,2.02
2003-04,2004-01-17,Ath Bilbao,Barcelona,0,21,21,0.30,1.10,1.50,-4.00,0.30,1.50,1.80,-3.00,0.00,0.00,1.00,-1.00,1,1,0,5.06,1.62,3.37,2.04,1.82
