season,date,team,rival_team,home_adv,last_season_team,last_season_rival,pct_wins,avg_goals_scored,avg_goals_received,goal_difference,pct_wins_rival,avg_goals_scored_rival,avg_goals_received_rival,goal_difference_rival,pct_wins_vs_rival,avg_goals_scored_vs_rival,avg_goals_received_vs_rival,goal_difference_vs_rival,goals_team,goals_rival,result,AvgWin,AvgLoss,AvgDraw,AvgAHWin,AvgAHLoss
2003-04,2003-08-30,Real Madrid,Betis,1,21,21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,1,1,1.38,7.18,4.00,1.94,1.91
2003-04,2003-09-02,Real Madrid,Villarreal,0,21,21,1.00,2.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,0,1.80,3.99,3.28,1.96,1.88
2003-04,2003-09-13,Real Madrid,Valladolid,1,21,21,0.50,1.50,1.00,1.00,0.50,1.00,0.50,1.00,0.00,0.00,0.00,0.00,7,2,1,1.29,9.10,4.39,1.82,2.02
2003-04,2003-09-21,Real Madrid,Malaga,0,21,21,0.67,3.33,1.33,6.00,0.00,0.00,0.67,-2.00,0.00,0.00,0.00,0.00,3,1,1,1.62,4.90,3.40,1.92,1.93
2003-04,2003-09-27,Real Madrid,Valencia,0,21,21,0.75,3.25,1.25,8.00,0.75,1.50,0.25,5.00,0.00,0.00,0.00,0.00,0,2,-1,2.27,2.79,3.13,1.95,1.90
2003-04,2003-10-05,Real Madrid,Espanol,1,21,21,0.60,2.60,1.40,6.00,0.00,1.20,2.00,-4.00,0.00,0.00,0.00,0.00,2,1,1,1.20,11.00,5.10,1.80,2.05
2003-04,2003-10-18,Real Madrid,Celta,0,21,21,0.67,2.50,1.33,7.00,0.17,1.17,1.50,-2.00,0.00,0.00,0.00,0.00,2,0,1,1.86,3.70,3.20,1.88,1.97
2003-04,2003-10-25,Real Madrid,Santander,1,21,21,0.71,2.43,1.14,9.00,0.43,1.57,1.00,4.00,0.00,0.00,0.00,0.00,3,1,1,1.22,9.90,4.94,1.92,1.93
2003-04,2003-10-28,Real Madrid,Zaragoza,0,21,21,0.75,2.50,1.12,11.00,0.25,0.75,1.25,-4.00,0.00,0.00,0.00,0.00,0,0,0,1.57,5.18,3.43,1.95,1.90
2003-04,2003-11-01,Real Madrid,Ath Bilbao,1,21,21,0.67,2.22,1.00,11.00,0.44,1.33,1.00,3.00,0.00,0.00,0.00,0.00,3,0,1,1.27,8.90,4.51,1.96,1.89
2003-04,2003-11-09,Real Madrid,Sevilla,0,21,21,0.70,2.30,0.90,14.00,0.20,1.20,1.30,-1.00,0.00,0.00,0.00,0.00,1,4,-1,1.67,4.54,3.31,1.89,1.96
2003-04,2003-11-23,Real Madrid,Albacete,1,21,21,0.60,2.20,1.20,10.00,0.30,1.00,1.40,-4.00,0.00,0.00,0.00,0.00,2,1,1,1.14,13.80,6.15,2.02,1.83
2003-04,2003-11-29,Real Madrid,Osasuna,0,21,21,0.70,2.30,1.20,11.00,0.40,1.10,0.80,3.00,0.00,0.00,0.00,0.00,1,1,0,1.83,3.75,3.22,1.85,2.00
2003-04,2003-12-03,Real Madrid,Ath Madrid,1,21,21,0.60,1.70,1.10,6.00,0.60,1.60,1.40,2.00,0.00,0.00,0.00,0.00,2,0,1,1.47,6.16,3.66,1.93,-1.08
2003-04,2003-12-06,Real Madrid,Barcelona,0,21,21,0.60,1.60,1.00,6.00,0.30,1.30,1.50,-2.00,0.00,0.00,0.00,0.00,2,1,1,2.32,2.73,3.14,1.98,1.87
2003-04,2003-12-14,Real Madrid,La Coruna,1,21,21,0.70,1.80,0.90,9.00,0.50,1.30,0.70,6.00,0.00,0.00,0.00,0.00,2,1,1,1.58,5.11,3.46,1.96,1.90
2003-04,2003-12-21,Real Madrid,Mallorca,0,21,21,0.70,1.80,0.90,9.00,0.60,1.50,1.50,0.00,0.00,0.00,0.00,0.00,3,1,1,1.83,3.86,3.20,1.95,1.92
